consensus,function,placement,No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),simulation time(sec),total prepare time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs),average upload data(bytes),average download data(bytes)
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,12,-1.0,73.86857326845995,14.661488533020018,0.1759378623962402,9.250640869140625e-05,0.08156249999999998,0.04078124999999999,0.0,0.056894540786743164,835.2,278.4
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,13,-1.0,106.49022295524442,21.31638526916504,0.2771130084991455,9.059906005859375e-05,0.14726562499999996,0.07363281249999998,0.0,0.05962061882019043,1508.0,301.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,14,-1.0,140.40125873315083,28.572880199977337,0.40002032279968275,0.00011730194091796875,0.22203125000000004,0.11101562500000002,0.0,0.07022714614868164,2273.6,324.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,13,-1.0,106.84791883085944,21.49949073791504,0.2794933795928955,8.988380432128906e-05,0.14726562499999996,0.07363281249999998,0.0,0.06131172180175781,1508.0,301.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,14,-1.0,138.4130125227031,28.456344604492198,0.39838882446289076,0.0001232624053955078,0.22203125000000004,0.11101562500000002,0.0,0.06875109672546387,2273.6,324.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,13,-1.0,124.57295293616951,24.94524515592135,0.32428818702697754,8.96453857421875e-05,0.17671874999999995,0.08835937499999998,0.0,0.06200742721557617,1809.6,301.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,13,-1.0,124.78177099249925,25.02023696899414,0.3252630805969238,9.393692016601562e-05,0.17671874999999995,0.08835937499999998,0.0,0.06323647499084473,1809.6,301.6
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,14,-1.0,150.0145789369449,30.574831962585442,0.42804764747619617,0.00010347366333007812,0.25375,0.126875,0.0,0.050644636154174805,2598.4,324.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,14,-1.0,130.60308727182405,27.13060106549945,0.3798284149169923,9.799003601074219e-05,0.22203125000000004,0.11101562500000002,0.0,0.04958343505859375,2273.6,324.8
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,1000,100,<-parameter / result->,13,-1.0,99.30798184487129,20.18184295067421,0.2623639583587647,8.368492126464844e-05,0.14726562499999996,0.07363281249999998,0.0,0.04380345344543457,1508.0,301.6
