No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.6095598459243776 , elapsed time(secs): 52.19119691848755
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.2776180863380433 , elapsed time(secs): 45.552361726760864
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.8105287671089174 , elapsed time(secs): 56.210575342178345
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.363296163082123 , elapsed time(secs): 47.265923261642456
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.5292569637298583 , elapsed time(secs): 50.58513927459717
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.157226359844208 , elapsed time(secs): 43.144527196884155
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.4737985730171204 , elapsed time(secs): 49.47597146034241
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.488654136657715 , elapsed time(secs): 49.7730827331543
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.4735288619995117 , elapsed time(secs): 49.470577239990234
No. user: 5, No. miner: 10 , No. minerNeighbours: 1 , No. tx: 20 , average tx time(secs): 2.589200973510742 , elapsed time(secs): 51.784019470214844
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.0668275713920594 , elapsed time(secs): 61.33655142784119
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 2.7099096298217775 , elapsed time(secs): 54.19819259643555
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.3481932282447815 , elapsed time(secs): 66.96386456489563
