No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.0315296053886414 , elapsed time(secs): 24.25223684310913
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.219966471195221 , elapsed time(secs): 25.759731769561768
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 2.9938609302043915 , elapsed time(secs): 23.950887441635132
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.057151108980179 , elapsed time(secs): 24.45720887184143
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 4.0747833251953125 , elapsed time(secs): 32.5982666015625
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 2.8685909807682037 , elapsed time(secs): 22.94872784614563
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 2.892961084842682 , elapsed time(secs): 23.143688678741455
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 2.9186054468154907 , elapsed time(secs): 23.348843574523926
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.5089600682258606 , elapsed time(secs): 28.071680545806885
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.296603113412857 , elapsed time(secs): 26.372824907302856
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.4464573860168457 , elapsed time(secs): 27.571659088134766
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.245272219181061 , elapsed time(secs): 25.962177753448486
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.320541113615036 , elapsed time(secs): 26.564328908920288
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.2202509343624115 , elapsed time(secs): 25.762007474899292
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.0311837196350098 , elapsed time(secs): 24.249469757080078
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.74844092130661 , elapsed time(secs): 29.98752737045288
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.3715457022190094 , elapsed time(secs): 26.972365617752075
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.5086426734924316 , elapsed time(secs): 28.069141387939453
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.118998110294342 , elapsed time(secs): 24.951984882354736
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.622279077768326 , elapsed time(secs): 28.978232622146606
No. user: 4, No. miner: 5 , No. minerNeighbours: 1 , No. tx: 8 , average tx time(secs): 3.1322201788425446 , elapsed time(secs): 25.057761430740356
